PseudoPipeID	EnsemblID.version	EnsemblID
PGOHUM00000297980	ENST00000517443.1	ENST00000517443
PGOHUM00000299628	ENST00000487963.1	ENST00000487963
PGOHUM00000311790	ENST00000564330.1	ENST00000564330
PGOHUM00000308618	ENST00000545768.1	ENST00000545768
PGOHUM00000304422	ENST00000447628.2	ENST00000447628
PGOHUM00000298101	ENST00000433431.1	ENST00000433431
PGOHUM00000305952	ENST00000445840.2	ENST00000445840
PGOHUM00000298067	ENST00000421567.1	ENST00000421567
PGOHUM00000304926	ENST00000421233.6	ENST00000421233
PGOHUM00000297245	ENST00000430538.1	ENST00000430538
PGOHUM00000299982	ENST00000514068.2	ENST00000514068
PGOHUM00000292134	ENST00000421076.2	ENST00000421076
PGOHUM00000301410	ENST00000403446.2	ENST00000403446
PGOHUM00000301681	ENST00000405676.2	ENST00000405676
PGOHUM00000300481	ENST00000503662.1	ENST00000503662
PGOHUM00000301064	ENST00000506315.1	ENST00000506315
PGOHUM00000310407	ENST00000444165.1	ENST00000444165
PGOHUM00000311202	ENST00000597191.1	ENST00000597191
PGOHUM00000308272	ENST00000446889.1	ENST00000446889
PGOHUM00000297212	ENST00000412442.1	ENST00000412442
PGOHUM00000297787	ENST00000436626.1	ENST00000436626
PGOHUM00000296444	ENST00000411964.2	ENST00000411964
PGOHUM00000298564	ENST00000393279.2	ENST00000393279
PGOHUM00000302090	ENST00000435950.1	ENST00000435950
PGOHUM00000296121	ENST00000451892.1	ENST00000451892
PGOHUM00000301886	ENST00000407031.2	ENST00000407031
PGOHUM00000294066	ENST00000588022.1	ENST00000588022
PGOHUM00000301217	ENST00000505889.1	ENST00000505889
PGOHUM00000300910	ENST00000508172.3	ENST00000508172
PGOHUM00000295816	ENST00000443168.1	ENST00000443168
PGOHUM00000303511	ENST00000399789.6	ENST00000399789
PGOHUM00000312003	ENST00000560956.1	ENST00000560956
PGOHUM00000290228	ENST00000372011.4	ENST00000372011
PGOHUM00000311468	ENST00000504847.1	ENST00000504847
PGOHUM00000289778	ENST00000340929.4	ENST00000340929
PGOHUM00000302602	ENST00000455430.1	ENST00000455430
PGOHUM00000299665	ENST00000461049.1	ENST00000461049
PGOHUM00000297120	ENST00000438914.1	ENST00000438914
PGOHUM00000295947	ENST00000426573.2	ENST00000426573
PGOHUM00000294895	ENST00000586049.3	ENST00000586049
PGOHUM00000308428	ENST00000453647.1	ENST00000453647
PGOHUM00000299683	ENST00000445553.1	ENST00000445553
PGOHUM00000298356	ENST00000449669.1	ENST00000449669
PGOHUM00000310179	ENST00000510851.1	ENST00000510851
PGOHUM00000297723	ENST00000442565.1	ENST00000442565
PGOHUM00000305477	ENST00000604178.1	ENST00000604178
PGOHUM00000295064	ENST00000597606.1	ENST00000597606
PGOHUM00000296464	ENST00000604963.1	ENST00000604963
PGOHUM00000299753	ENST00000514230.1	ENST00000514230
PGOHUM00000296969	ENST00000569013.1	ENST00000569013
PGOHUM00000304050	ENST00000422282.2	ENST00000422282
PGOHUM00000304139	ENST00000622677.1	ENST00000622677
PGOHUM00000296615	ENST00000433122.2	ENST00000433122
PGOHUM00000311608	ENST00000434525.1	ENST00000434525
PGOHUM00000299922	ENST00000510983.2	ENST00000510983
PGOHUM00000301852	ENST00000428007.1	ENST00000428007
PGOHUM00000298909	ENST00000509197.1	ENST00000509197
PGOHUM00000299513	ENST00000466609.1	ENST00000466609
PGOHUM00000297329	ENST00000496773.1	ENST00000496773
PGOHUM00000293826	ENST00000407030.4	ENST00000407030
PGOHUM00000298858	ENST00000434035.1	ENST00000434035
PGOHUM00000290909	ENST00000528030.1	ENST00000528030
PGOHUM00000305658	ENST00000428060.1	ENST00000428060
PGOHUM00000291533	ENST00000497462.2	ENST00000497462
PGOHUM00000303894	ENST00000592972.1	ENST00000592972
PGOHUM00000303637	ENST00000604350.1	ENST00000604350
PGOHUM00000301772	ENST00000334441.4	ENST00000334441
PGOHUM00000301187	ENST00000513462.1	ENST00000513462
PGOHUM00000294065	ENST00000590824.1	ENST00000590824
PGOHUM00000300337	ENST00000504693.2	ENST00000504693
PGOHUM00000305696	ENST00000428070.1	ENST00000428070
PGOHUM00000290717	ENST00000603578.1	ENST00000603578
PGOHUM00000294608	ENST00000584783.1	ENST00000584783
PGOHUM00000296699	ENST00000412675.1	ENST00000412675
PGOHUM00000298160	ENST00000424794.1	ENST00000424794
PGOHUM00000290533	ENST00000456493.1	ENST00000456493
PGOHUM00000299133	ENST00000477975.2	ENST00000477975
PGOHUM00000294276	ENST00000346911.4	ENST00000346911
PGOHUM00000302846	ENST00000450317.1	ENST00000450317
PGOHUM00000294785	ENST00000588916.1	ENST00000588916
PGOHUM00000305073	ENST00000453276.1	ENST00000453276
PGOHUM00000301076	ENST00000514852.1	ENST00000514852
PGOHUM00000293863	ENST00000562636.1	ENST00000562636
PGOHUM00000289831	ENST00000433115.1	ENST00000433115
PGOHUM00000291143	ENST00000536916.1	ENST00000536916
PGOHUM00000298533	ENST00000621327.1	ENST00000621327
PGOHUM00000303796	ENST00000420145.1	ENST00000420145
PGOHUM00000297698	ENST00000618197.1	ENST00000618197
PGOHUM00000302077	ENST00000466070.1	ENST00000466070
PGOHUM00000301402	ENST00000613707.1	ENST00000613707
PGOHUM00000305475	ENST00000455231.3	ENST00000455231
PGOHUM00000292179	ENST00000605312.1	ENST00000605312
PGOHUM00000291252	ENST00000541727.1	ENST00000541727
PGOHUM00000302007	ENST00000405341.1	ENST00000405341
PGOHUM00000297133	ENST00000437218.1	ENST00000437218
PGOHUM00000302815	ENST00000421140.6	ENST00000421140
PGOHUM00000297059	ENST00000457576.1	ENST00000457576
PGOHUM00000290292	ENST00000439233.1	ENST00000439233
PGOHUM00000289743	ENST00000442321.1	ENST00000442321
PGOHUM00000292969	ENST00000472975.1	ENST00000472975
PGOHUM00000296398	ENST00000415545.2	ENST00000415545
PGOHUM00000297380	ENST00000442212.1	ENST00000442212
PGOHUM00000292588	ENST00000556680.1	ENST00000556680
PGOHUM00000311460	ENST00000513444.1	ENST00000513444
PGOHUM00000300698	ENST00000621951.1	ENST00000621951
PGOHUM00000303576	ENST00000520029.1	ENST00000520029
PGOHUM00000296607	ENST00000289731.2	ENST00000289731
PGOHUM00000289758	ENST00000427935.1	ENST00000427935
PGOHUM00000304082	ENST00000456661.1	ENST00000456661
PGOHUM00000303381	ENST00000460778.1	ENST00000460778
PGOHUM00000297279	ENST00000428242.1	ENST00000428242
PGOHUM00000297935	ENST00000418060.1	ENST00000418060
PGOHUM00000301766	ENST00000603883.1	ENST00000603883
PGOHUM00000296479	ENST00000286193.2	ENST00000286193
PGOHUM00000290542	ENST00000534535.1	ENST00000534535
PGOHUM00000311023	ENST00000509856.1	ENST00000509856
PGOHUM00000294376	ENST00000583091.1	ENST00000583091
PGOHUM00000301497	ENST00000417878.1	ENST00000417878
PGOHUM00000311368	ENST00000458734.1	ENST00000458734
PGOHUM00000299945	ENST00000512182.2	ENST00000512182
PGOHUM00000303135	ENST00000524156.1	ENST00000524156
PGOHUM00000305189	ENST00000432383.2	ENST00000432383
PGOHUM00000296845	ENST00000400938.2	ENST00000400938
PGOHUM00000300198	ENST00000507399.2	ENST00000507399
PGOHUM00000301994	ENST00000406999.2	ENST00000406999
PGOHUM00000294091	ENST00000622054.1	ENST00000622054
PGOHUM00000312366	ENST00000653397.2	ENST00000653397
PGOHUM00000305260	ENST00000432891.2	ENST00000432891
PGOHUM00000292445	ENST00000486273.1	ENST00000486273
PGOHUM00000296160	ENST00000427566.2	ENST00000427566
PGOHUM00000295679	ENST00000412785.1	ENST00000412785
PGOHUM00000304348	ENST00000445918.1	ENST00000445918
PGOHUM00000293285	ENST00000603694.1	ENST00000603694
PGOHUM00000297280	ENST00000450007.1	ENST00000450007
PGOHUM00000293283	ENST00000478757.2	ENST00000478757
PGOHUM00000291941	ENST00000419933.2	ENST00000419933
PGOHUM00000299600	ENST00000474389.1	ENST00000474389
PGOHUM00000292659	ENST00000555893.1	ENST00000555893
PGOHUM00000292230	ENST00000619393.1	ENST00000619393
PGOHUM00000297721	ENST00000409926.2	ENST00000409926
PGOHUM00000299782	ENST00000507819.1	ENST00000507819
PGOHUM00000306572	ENST00000495088.1	ENST00000495088
PGOHUM00000298087	ENST00000426307.1	ENST00000426307
PGOHUM00000295547	ENST00000453852.2	ENST00000453852
PGOHUM00000294356	ENST00000584626.1	ENST00000584626
PGOHUM00000304399	ENST00000432132.2	ENST00000432132
PGOHUM00000304937	ENST00000633785.1	ENST00000633785
PGOHUM00000292067	ENST00000447172.1	ENST00000447172
PGOHUM00000304516	ENST00000448018.1	ENST00000448018
PGOHUM00000294226	ENST00000588528.1	ENST00000588528
PGOHUM00000300371	ENST00000514691.1	ENST00000514691
PGOHUM00000305250	ENST00000456664.2	ENST00000456664
PGOHUM00000297739	ENST00000420779.2	ENST00000420779
PGOHUM00000307570	ENST00000603918.1	ENST00000603918
PGOHUM00000293955	ENST00000583151.1	ENST00000583151
PGOHUM00000290723	ENST00000527269.1	ENST00000527269
PGOHUM00000290837	ENST00000524640.1	ENST00000524640
PGOHUM00000294726	ENST00000588718.1	ENST00000588718
PGOHUM00000293815	ENST00000561925.2	ENST00000561925
PGOHUM00000298055	ENST00000457256.1	ENST00000457256
PGOHUM00000290135	ENST00000457461.1	ENST00000457461
PGOHUM00000289844	ENST00000583339.3	ENST00000583339
PGOHUM00000293478	ENST00000433603.1	ENST00000433603
PGOHUM00000301018	ENST00000513990.1	ENST00000513990
PGOHUM00000308657	ENST00000468366.1	ENST00000468366
PGOHUM00000290000	ENST00000420302.1	ENST00000420302
PGOHUM00000305359	ENST00000309296.5	ENST00000309296
PGOHUM00000292136	ENST00000435020.1	ENST00000435020
PGOHUM00000296472	ENST00000441051.1	ENST00000441051
PGOHUM00000305633	ENST00000441642.1	ENST00000441642
PGOHUM00000290100	ENST00000457388.1	ENST00000457388
PGOHUM00000296446	ENST00000634283.1	ENST00000634283
PGOHUM00000297367	ENST00000450472.1	ENST00000450472
PGOHUM00000310572	ENST00000453641.1	ENST00000453641
PGOHUM00000300409	ENST00000605504.1	ENST00000605504
PGOHUM00000308415	ENST00000492832.2	ENST00000492832
PGOHUM00000290221	ENST00000423182.2	ENST00000423182
PGOHUM00000302299	ENST00000574228.1	ENST00000574228
PGOHUM00000298406	ENST00000419483.1	ENST00000419483
PGOHUM00000293553	ENST00000566360.1	ENST00000566360
PGOHUM00000291822	ENST00000431907.2	ENST00000431907
PGOHUM00000296317	ENST00000427294.1	ENST00000427294
PGOHUM00000303871	ENST00000433508.1	ENST00000433508
PGOHUM00000307619	ENST00000452967.2	ENST00000452967
PGOHUM00000291495	ENST00000535243.1	ENST00000535243
PGOHUM00000298605	ENST00000447760.1	ENST00000447760
PGOHUM00000298685	ENST00000424716.1	ENST00000424716
PGOHUM00000298194	ENST00000430257.1	ENST00000430257
PGOHUM00000303482	ENST00000524123.1	ENST00000524123
PGOHUM00000297677	ENST00000522485.1	ENST00000522485
PGOHUM00000295012	ENST00000598554.1	ENST00000598554
PGOHUM00000294592	ENST00000589352.1	ENST00000589352
PGOHUM00000303353	ENST00000468501.1	ENST00000468501
PGOHUM00000302216	ENST00000424595.1	ENST00000424595
PGOHUM00000305778	ENST00000421750.1	ENST00000421750
PGOHUM00000305580	ENST00000616864.1	ENST00000616864
PGOHUM00000305914	ENST00000566845.1	ENST00000566845
PGOHUM00000304968	ENST00000436466.1	ENST00000436466
PGOHUM00000291529	ENST00000477936.2	ENST00000477936
PGOHUM00000297820	ENST00000274516.5	ENST00000274516
PGOHUM00000299325	ENST00000451150.2	ENST00000451150
PGOHUM00000299416	ENST00000441847.1	ENST00000441847
PGOHUM00000310771	ENST00000505001.2	ENST00000505001
PGOHUM00000293637	ENST00000562497.1	ENST00000562497
PGOHUM00000300096	ENST00000494861.2	ENST00000494861
PGOHUM00000305353	ENST00000429441.1	ENST00000429441
PGOHUM00000302991	ENST00000638055.2	ENST00000638055
PGOHUM00000293260	ENST00000465295.1	ENST00000465295
PGOHUM00000297048	ENST00000416198.1	ENST00000416198
PGOHUM00000298738	ENST00000414479.1	ENST00000414479
PGOHUM00000304688	ENST00000453086.1	ENST00000453086
PGOHUM00000299348	ENST00000419844.1	ENST00000419844
PGOHUM00000300727	ENST00000504479.2	ENST00000504479
PGOHUM00000299384	ENST00000411753.1	ENST00000411753
PGOHUM00000304996	ENST00000454146.1	ENST00000454146
PGOHUM00000302197	ENST00000636487.1	ENST00000636487
PGOHUM00000308131	ENST00000474680.5	ENST00000474680
PGOHUM00000292511	ENST00000520143.1	ENST00000520143
PGOHUM00000302982	ENST00000424543.2	ENST00000424543
PGOHUM00000304394	ENST00000448030.1	ENST00000448030
PGOHUM00000294905	ENST00000526892.1	ENST00000526892
PGOHUM00000297109	ENST00000434010.1	ENST00000434010
PGOHUM00000301899	ENST00000604292.1	ENST00000604292
PGOHUM00000292257	ENST00000546860.2	ENST00000546860
PGOHUM00000291807	ENST00000547720.1	ENST00000547720
PGOHUM00000307611	ENST00000454982.1	ENST00000454982
PGOHUM00000299192	ENST00000489121.1	ENST00000489121
PGOHUM00000293218	ENST00000476363.1	ENST00000476363
PGOHUM00000298917	ENST00000430199.1	ENST00000430199
PGOHUM00000304667	ENST00000433352.1	ENST00000433352
PGOHUM00000293183	ENST00000527159.2	ENST00000527159
PGOHUM00000305626	ENST00000453312.1	ENST00000453312
PGOHUM00000293594	ENST00000561790.1	ENST00000561790
PGOHUM00000307801	ENST00000620434.1	ENST00000620434
PGOHUM00000310852	ENST00000645911.2	ENST00000645911
PGOHUM00000297164	ENST00000624353.1	ENST00000624353
PGOHUM00000300772	ENST00000619270.1	ENST00000619270
PGOHUM00000290382	ENST00000524865.2	ENST00000524865
PGOHUM00000289742	ENST00000456003.1	ENST00000456003
PGOHUM00000300806	ENST00000519146.1	ENST00000519146
PGOHUM00000292428	ENST00000554405.2	ENST00000554405
PGOHUM00000295406	ENST00000601996.1	ENST00000601996
PGOHUM00000302520	ENST00000467154.1	ENST00000467154
PGOHUM00000299234	ENST00000491096.1	ENST00000491096
PGOHUM00000294321	ENST00000428754.2	ENST00000428754
PGOHUM00000294170	ENST00000618795.1	ENST00000618795
PGOHUM00000299368	ENST00000449593.1	ENST00000449593
PGOHUM00000300485	ENST00000512854.1	ENST00000512854
PGOHUM00000303733	ENST00000434028.1	ENST00000434028
PGOHUM00000298677	ENST00000442517.2	ENST00000442517
PGOHUM00000296252	ENST00000453780.1	ENST00000453780
PGOHUM00000305042	ENST00000442971.1	ENST00000442971
PGOHUM00000299756	ENST00000503331.1	ENST00000503331
PGOHUM00000293721	ENST00000622756.1	ENST00000622756
PGOHUM00000300479	ENST00000508806.1	ENST00000508806
PGOHUM00000290702	ENST00000604639.1	ENST00000604639
PGOHUM00000292227	ENST00000603247.1	ENST00000603247
PGOHUM00000305548	ENST00000442535.1	ENST00000442535
PGOHUM00000292996	ENST00000560942.2	ENST00000560942
PGOHUM00000305284	ENST00000604330.1	ENST00000604330
PGOHUM00000291170	ENST00000529936.1	ENST00000529936
PGOHUM00000295450	ENST00000391998.3	ENST00000391998
PGOHUM00000297881	ENST00000603429.1	ENST00000603429
PGOHUM00000299566	ENST00000466578.1	ENST00000466578
PGOHUM00000310515	ENST00000529061.7	ENST00000529061
PGOHUM00000311083	ENST00000424552.1	ENST00000424552
PGOHUM00000290409	ENST00000535082.1	ENST00000535082
PGOHUM00000299065	ENST00000487255.1	ENST00000487255
PGOHUM00000301543	ENST00000406097.2	ENST00000406097
PGOHUM00000294700	ENST00000584794.1	ENST00000584794
PGOHUM00000289841	ENST00000604933.2	ENST00000604933
PGOHUM00000295872	ENST00000497012.2	ENST00000497012
PGOHUM00000296096	ENST00000435008.1	ENST00000435008
PGOHUM00000291512	ENST00000456928.2	ENST00000456928
PGOHUM00000300562	ENST00000512554.1	ENST00000512554
PGOHUM00000304512	ENST00000619728.1	ENST00000619728
PGOHUM00000289815	ENST00000423987.2	ENST00000423987
PGOHUM00000294329	ENST00000395519.3	ENST00000395519
PGOHUM00000303491	ENST00000498256.1	ENST00000498256
PGOHUM00000292563	ENST00000549782.1	ENST00000549782
PGOHUM00000303196	ENST00000519711.1	ENST00000519711
PGOHUM00000310519	ENST00000393266.2	ENST00000393266
PGOHUM00000293093	ENST00000559009.1	ENST00000559009
PGOHUM00000294316	ENST00000434406.1	ENST00000434406
PGOHUM00000295606	ENST00000447051.2	ENST00000447051
PGOHUM00000312558	ENST00000403909.2	ENST00000403909
PGOHUM00000290212	ENST00000615610.1	ENST00000615610
PGOHUM00000301590	ENST00000442343.1	ENST00000442343
PGOHUM00000299382	ENST00000423449.1	ENST00000423449
PGOHUM00000305088	ENST00000426602.2	ENST00000426602
PGOHUM00000310732	ENST00000509361.1	ENST00000509361
PGOHUM00000297805	ENST00000438989.1	ENST00000438989
PGOHUM00000299907	ENST00000502331.2	ENST00000502331
PGOHUM00000297388	ENST00000398116.2	ENST00000398116
PGOHUM00000296345	ENST00000416440.2	ENST00000416440
PGOHUM00000299391	ENST00000379452.3	ENST00000379452
PGOHUM00000302965	ENST00000603082.1	ENST00000603082
PGOHUM00000293466	ENST00000551901.5	ENST00000551901
PGOHUM00000294305	ENST00000434303.1	ENST00000434303
PGOHUM00000293967	ENST00000580004.1	ENST00000580004
PGOHUM00000289735	ENST00000421389.1	ENST00000421389
PGOHUM00000299443	ENST00000603353.1	ENST00000603353
PGOHUM00000303904	ENST00000623812.1	ENST00000623812
PGOHUM00000305530	ENST00000436364.1	ENST00000436364
PGOHUM00000302223	ENST00000442493.1	ENST00000442493
PGOHUM00000295436	ENST00000456718.1	ENST00000456718
PGOHUM00000289780	ENST00000438347.1	ENST00000438347
PGOHUM00000299025	ENST00000444020.1	ENST00000444020
PGOHUM00000301128	ENST00000503807.1	ENST00000503807
PGOHUM00000310758	ENST00000515105.1	ENST00000515105
PGOHUM00000301883	ENST00000401853.1	ENST00000401853
PGOHUM00000289975	ENST00000429190.2	ENST00000429190
PGOHUM00000303445	ENST00000519013.1	ENST00000519013
PGOHUM00000291306	ENST00000604396.1	ENST00000604396
PGOHUM00000311157	ENST00000478358.1	ENST00000478358
PGOHUM00000302599	ENST00000603944.1	ENST00000603944
PGOHUM00000299555	ENST00000491091.1	ENST00000491091
PGOHUM00000298338	ENST00000454064.1	ENST00000454064
PGOHUM00000305779	ENST00000419224.1	ENST00000419224
PGOHUM00000295180	ENST00000596405.1	ENST00000596405
PGOHUM00000304258	ENST00000447083.1	ENST00000447083
PGOHUM00000294799	ENST00000590914.1	ENST00000590914
PGOHUM00000302196	ENST00000613964.2	ENST00000613964
PGOHUM00000294776	ENST00000588843.1	ENST00000588843
PGOHUM00000301549	ENST00000407837.2	ENST00000407837
PGOHUM00000299312	ENST00000411853.1	ENST00000411853
PGOHUM00000303553	ENST00000610741.1	ENST00000610741
PGOHUM00000302524	ENST00000420684.1	ENST00000420684
PGOHUM00000300708	ENST00000510014.1	ENST00000510014
PGOHUM00000302622	ENST00000418553.1	ENST00000418553
PGOHUM00000299630	ENST00000491120.1	ENST00000491120
PGOHUM00000304255	ENST00000450223.1	ENST00000450223
PGOHUM00000305746	ENST00000445264.1	ENST00000445264
PGOHUM00000289867	ENST00000447680.1	ENST00000447680
PGOHUM00000291765	ENST00000551090.1	ENST00000551090
PGOHUM00000292619	ENST00000479812.1	ENST00000479812
PGOHUM00000296935	ENST00000456646.1	ENST00000456646
PGOHUM00000308571	ENST00000549363.2	ENST00000549363
PGOHUM00000300847	ENST00000518368.1	ENST00000518368
PGOHUM00000295857	ENST00000605374.1	ENST00000605374
PGOHUM00000297541	ENST00000438116.2	ENST00000438116
PGOHUM00000294200	ENST00000578601.2	ENST00000578601
PGOHUM00000291596	ENST00000457963.2	ENST00000457963
PGOHUM00000294045	ENST00000492004.1	ENST00000492004
PGOHUM00000296636	ENST00000488458.1	ENST00000488458
PGOHUM00000297695	ENST00000518356.1	ENST00000518356
PGOHUM00000301962	ENST00000619829.1	ENST00000619829
PGOHUM00000300801	ENST00000636953.1	ENST00000636953
PGOHUM00000301160	ENST00000604421.1	ENST00000604421
PGOHUM00000304021	ENST00000443781.1	ENST00000443781
PGOHUM00000297639	ENST00000614590.1	ENST00000614590
PGOHUM00000302776	ENST00000455031.1	ENST00000455031
PGOHUM00000296995	ENST00000421494.1	ENST00000421494
PGOHUM00000305399	ENST00000406288.3	ENST00000406288
PGOHUM00000305527	ENST00000415994.1	ENST00000415994
PGOHUM00000305167	ENST00000438336.2	ENST00000438336
PGOHUM00000296476	ENST00000455691.2	ENST00000455691
PGOHUM00000293556	ENST00000567603.1	ENST00000567603
PGOHUM00000302395	ENST00000440466.1	ENST00000440466
PGOHUM00000291204	ENST00000428824.4	ENST00000428824
PGOHUM00000290065	ENST00000619266.1	ENST00000619266
PGOHUM00000303246	ENST00000465359.1	ENST00000465359
PGOHUM00000292507	ENST00000519770.1	ENST00000519770
PGOHUM00000298576	ENST00000605129.1	ENST00000605129
PGOHUM00000300263	ENST00000505757.2	ENST00000505757
PGOHUM00000301397	ENST00000407493.3	ENST00000407493
PGOHUM00000293115	ENST00000563771.2	ENST00000563771
PGOHUM00000300380	ENST00000508165.1	ENST00000508165
PGOHUM00000294267	ENST00000611383.1	ENST00000611383
PGOHUM00000300662	ENST00000508098.1	ENST00000508098
PGOHUM00000298747	ENST00000431890.1	ENST00000431890
PGOHUM00000302411	ENST00000382242.3	ENST00000382242
PGOHUM00000294752	ENST00000495480.1	ENST00000495480
PGOHUM00000290074	ENST00000449300.1	ENST00000449300
PGOHUM00000300221	ENST00000483696.1	ENST00000483696
PGOHUM00000297754	ENST00000425366.1	ENST00000425366
PGOHUM00000290628	ENST00000532876.1	ENST00000532876
PGOHUM00000304125	ENST00000413147.1	ENST00000413147
PGOHUM00000300528	ENST00000511359.1	ENST00000511359
PGOHUM00000297907	ENST00000603609.1	ENST00000603609
PGOHUM00000311561	ENST00000422385.2	ENST00000422385
PGOHUM00000293412	ENST00000603755.1	ENST00000603755
PGOHUM00000295020	ENST00000457904.2	ENST00000457904
PGOHUM00000290972	ENST00000527486.1	ENST00000527486
PGOHUM00000305638	ENST00000619901.1	ENST00000619901
PGOHUM00000298398	ENST00000398372.2	ENST00000398372
PGOHUM00000296811	ENST00000438679.2	ENST00000438679
PGOHUM00000292011	ENST00000399480.2	ENST00000399480
PGOHUM00000293259	ENST00000559497.1	ENST00000559497
PGOHUM00000301171	ENST00000522428.1	ENST00000522428
PGOHUM00000301324	ENST00000428639.1	ENST00000428639
PGOHUM00000301751	ENST00000413027.1	ENST00000413027
PGOHUM00000301718	ENST00000416785.1	ENST00000416785
PGOHUM00000293169	ENST00000603029.1	ENST00000603029
PGOHUM00000303916	ENST00000622233.1	ENST00000622233
PGOHUM00000298039	ENST00000448261.1	ENST00000448261
PGOHUM00000298141	ENST00000620841.1	ENST00000620841
PGOHUM00000299534	ENST00000489836.1	ENST00000489836
PGOHUM00000307919	ENST00000451162.1	ENST00000451162
PGOHUM00000303631	ENST00000391360.2	ENST00000391360
PGOHUM00000290082	ENST00000646086.1	ENST00000646086
PGOHUM00000311376	ENST00000443027.1	ENST00000443027
PGOHUM00000296679	ENST00000503142.1	ENST00000503142
PGOHUM00000291663	ENST00000548970.2	ENST00000548970
PGOHUM00000308111	ENST00000455509.1	ENST00000455509
PGOHUM00000300443	ENST00000502748.1	ENST00000502748
PGOHUM00000295899	ENST00000447781.2	ENST00000447781
PGOHUM00000295812	ENST00000444823.1	ENST00000444823
PGOHUM00000301026	ENST00000504007.1	ENST00000504007
PGOHUM00000304438	ENST00000394891.3	ENST00000394891
PGOHUM00000296924	ENST00000610599.1	ENST00000610599
PGOHUM00000293334	ENST00000560672.1	ENST00000560672
PGOHUM00000299515	ENST00000637814.1	ENST00000637814
PGOHUM00000302453	ENST00000484956.1	ENST00000484956
PGOHUM00000301408	ENST00000403497.2	ENST00000403497
PGOHUM00000305186	ENST00000440037.1	ENST00000440037
PGOHUM00000289739	ENST00000606426.1	ENST00000606426
PGOHUM00000301305	ENST00000419416.1	ENST00000419416
PGOHUM00000294051	ENST00000585289.1	ENST00000585289
