id	chr	start	end	strand	parent	fraction	identity	e-value	class	families
PGOHUM00000235936	HSCHR6_MHC	31507182	31507758	+	ENSP00000392560	0.99	0.73	6.0E-36	Duplicated	PF00827;
PGOHUM00000235937	HSCHR6_MHC	32304328	32305185	+	ENSP00000383298	0.88	0.91	0.0	Duplicated	PF00076;
PGOHUM00000235938	HSCHR6_MHC	33030638	33031044	+	ENSP00000380156	1.0	0.721	4.0E-38	Processed	PF01655;
PGOHUM00000235939	HSCHR6_MHC	33078957	33079904	+	ENSP00000389618	0.59	0.82	3.0E-38	Duplicated	PF00047;PF00969;PF07654;
PGOHUM00000249922	18	1176789	1177013	-	ENSP00000297564	1.0	0.64	5.0E-19	Processed	PF02937;
PGOHUM00000234837	18	1362444	1363874	-	ENSP00000339016	1.0	0.88	0.0	Duplicated	PF00004;
PGOHUM00000234838	18	1927727	1929088	-	ENSP00000339161	0.99	0.74	1.0E-36	Duplicated	PF08910;
PGOHUM00000234840	18	2652722	2653231	-	ENSP00000336687	0.92	0.721	9.0E-32	Processed	PF00385;
PGOHUM00000234841	18	2945547	2946534	-	ENSP00000319255	1.0	0.952	0.0	Processed	PF04968;PF04969;
PGOHUM00000249923	18	3377924	3378245	-	ENSP00000264258	0.95	0.706	3.0E-20	Processed	PF01198;
PGOHUM00000234844	18	3406343	3406816	-	ENSP00000346027	1.0	0.887	0.0	Processed	PF01157;
PGOHUM00000234845	18	3977649	3978615	-	ENSP00000229239	1.0	0.767	0.0	Processed	PF00044;PF02800;
PGOHUM00000234846	18	5002754	5003246	-	ENSP00000419425	0.98	0.823	0.0	Processed	PF00160;
PGOHUM00000249924	18	6462146	6463009	-	ENSP00000202773	1.0	0.99	0.0	Processed	PF01159;PF03868;
PGOHUM00000234849	18	8688018	8688408	-	ENSP00000355566	0.97	0.66	7.0E-27	Processed	PF02064;
PGOHUM00000234860	18	12067204	12068414	-	ENSP00000270061	0.96	0.97	0.0	Duplicated	PF04503;
PGOHUM00000234863	18	12101993	12102470	-	ENSP00000364699	1.0	0.843	2.0E-38	Processed	PF05328;
PGOHUM00000234864	18	12192202	12192933	-	ENSP00000268261	0.99	0.811	0.0	Processed	PF03332;PF08282;
PGOHUM00000234866	18	13139776	13140488	-	ENSP00000364320	1.0	0.841	1.0E-35	Processed	PF00466;
PGOHUM00000234867	18	13151634	13152687	-	ENSP00000267522	1.0	0.771	0.0	Processed	PF00400;
PGOHUM00000234868	18	13919605	13919922	-	ENSP00000404375	1.0	0.925	0.0	Processed	PF00935;
PGOHUM00000234870	18	14144303	14150091	-	ENSP00000391595	0.91	0.51	1.0E-18	Duplicated	PF04499;
PGOHUM00000234877	18	14391915	14393905	-	ENSP00000269856	1.0	0.91	0.0	Processed	PF00023;
PGOHUM00000234882	18	14629834	14632805	-	ENSP00000265909	1.0	0.869	0.0	Processed	PF00787;PF02194;PF08628;
PGOHUM00000234884	18	14888706	14890088	-	ENSP00000267843	0.51	0.92	4.0E-20	Duplicated	PF00167;
PGOHUM00000234888	18	15247455	15247983	-	ENSP00000357625	0.93	0.714	2.0E-17	Processed	PF06553;
PGOHUM00000249927	18	15307663	15326017	-	ENSP00000399031	0.55	0.75	1.0E-30	Duplicated	PF00023;
PGOHUM00000234890	18	18699146	18699622	-	ENSP00000346027	1.0	0.925	0.0	Processed	PF01157;
PGOHUM00000234892	18	19434606	19434948	-	ENSP00000378160	1.0	0.726	4.0E-30	Processed	PF01199;
PGOHUM00000234893	18	19494330	19494621	-	ENSP00000360473	0.73	0.898	3.0E-26	Processed	PF01920;
PGOHUM00000234895	18	20480449	20480958	-	ENSP00000348838	1.0	0.682	5.0E-33	Processed	PF00179;
PGOHUM00000234896	18	21252217	21252712	-	ENSP00000347271	1.0	0.861	0.0	Processed	PF03501;
PGOHUM00000234897	18	21289787	21290227	-	ENSP00000378393	0.94	0.899	9.94922E-44	Processed	PF00276;PF03939;
PGOHUM00000234900	18	22265736	22266315	-	ENSP00000258737	1.0	0.677	2.0E-37	Processed	PF00071;PF08477;
PGOHUM00000234905	18	24411484	24412398	-	ENSP00000263202	1.0	0.887	0.0	Processed	PF03152;
PGOHUM00000234907	18	24935386	24935728	-	ENSP00000388107	0.91	0.615	3.0E-20	Processed	PF00240;PF01020;
PGOHUM00000234908	18	24998848	25000400	-	ENSP00000199814	1.0	0.68	2.94273E-44	Duplicated	PF00076;PF00642;
PGOHUM00000234909	18	25032476	25033621	-	ENSP00000302886	1.0	0.794	0.0	Processed	PF00557;
PGOHUM00000234912	18	29304190	29305649	+	ENSP00000325713	0.24	0.56	3.0E-13	Duplicated	PF00560;
PGOHUM00000234915	18	29655853	29656235	-	ENSP00000318646	0.99	0.922	0.0	Processed	PF00410;
PGOHUM00000234917	18	29829728	29830084	-	ENSP00000229854	0.11	0.63	1.0E-14	Duplicated	PF00493;PF01078;
PGOHUM00000234919	18	32153950	32154463	-	ENSP00000363018	0.81	0.688	2.0E-35	Processed	PF00687;
PGOHUM00000234925	18	41900765	41902177	-	ENSP00000293308	1.0	0.814	0.0	Processed	PF00038;
PGOHUM00000234926	18	44431541	44434751	-	ENSP00000341028	0.98	0.55	5.00264E-43	Duplicated	PF00443;PF06337;
PGOHUM00000234929	18	47021516	47023267	-	ENSP00000342181	0.88	0.861	0.0	Processed	PF00515;PF07719;PF08492;
PGOHUM00000234930	18	48685262	48685754	-	ENSP00000342913	0.89	0.753	1.0E-33	Processed	PF00076;
PGOHUM00000234931	18	48947433	48947615	-	ENSP00000011691	0.79	0.672	2.0E-16	Processed	PF05030;
PGOHUM00000234932	18	49139013	49139483	-	ENSP00000260443	0.96	0.873	0.0	Processed	PF01246;
PGOHUM00000234934	18	49371375	49371986	-	ENSP00000379888	0.98	0.828	0.0	Processed	PF01201;
PGOHUM00000234936	18	51131635	51132101	-	ENSP00000294189	0.97	0.558	7.0E-13	Processed	PF01779;
PGOHUM00000234937	18	51933257	51933484	-	ENSP00000272348	1.0	0.987	2.0E-35	Processed	PF01423;
PGOHUM00000234942	18	58163100	58163318	-	ENSP00000349679	0.76	0.74	2.0E-24	Processed	PF03259;
PGOHUM00000249929	18	58461847	58462149	-	ENSP00000370125	0.99	0.703	2.0E-14	Processed	PF01101;
PGOHUM00000234945	18	59072094	59072438	-	ENSP00000287038	1.0	0.887	0.0	Processed	PF01248;
PGOHUM00000234946	18	59285572	59285809	-	ENSP00000296581	1.0	0.787	1.0E-18	Processed	PF01423;
PGOHUM00000234947	18	59624505	59625248	-	ENSP00000283646	1.0	0.613	1.96182E-44	Processed	PF06026;
PGOHUM00000234948	18	61082550	61083702	-	ENSP00000310572	1.0	0.714	0.0	Processed	PF00004;PF07728;
PGOHUM00000234954	18	65375184	65375477	-	ENSP00000263384	0.88	0.626	7.0E-13	Processed	PF08555;
PGOHUM00000249930	18	72057122	72057532	-	ENSP00000279259	1.0	0.927	0.0	Processed	PF00240;PF04758;
PGOHUM00000234962	18	74546388	74546844	-	ENSP00000293842	1.0	0.824	2.00386E-43	Processed	PF00467;
PGOHUM00000234963	18	74597038	74600670	-	ENSP00000327821	1.0	0.63	3.0E-39	Duplicated	PF08389;
PGOHUM00000234971	18	2568763	2569118	+	ENSP00000360739	0.84	0.748	9.0E-36	Processed	PF00179;
PGOHUM00000234972	18	2990650	2991078	+	ENSP00000244520	0.96	0.732	7.0E-18	Processed	PF06220;
PGOHUM00000234977	18	4459229	4459468	+	ENSP00000284811	0.71	0.9	9.0E-35	Processed	PF03931;
PGOHUM00000234978	18	6926973	6928214	+	ENSP00000251900	0.53	0.43	3.0E-13	Duplicated	PF00536;PF02820;
PGOHUM00000234980	18	7134929	7135815	+	ENSP00000242275	1.0	0.895	0.0	Processed	PF00153;
PGOHUM00000234983	18	8545638	8546817	+	ENSP00000285930	0.99	0.68	3.0E-38	Duplicated	PF00248;
PGOHUM00000234984	18	9020027	9020762	+	ENSP00000362744	0.99	0.777	0.0	Processed	PF00467;PF00900;PF01479;PF08071;
PGOHUM00000234986	18	9785124	9787863	+	ENSP00000243643	0.74	0.58	0.0	Duplicated	PF00096;PF01352;
PGOHUM00000234988	18	10636667	10637398	+	ENSP00000268261	0.99	0.811	0.0	Processed	PF03332;PF08282;
PGOHUM00000234992	18	11327376	11328426	+	ENSP00000409893	0.73	0.635	0.0	Processed	PF01769;
PGOHUM00000234995	18	11745676	11747556	+	ENSP00000406994	0.98	0.71	0.0	Duplicated	PF00310;
PGOHUM00000234996	18	11851520	11852101	+	ENSP00000380998	1.0	0.558	1.99993E-41	Processed	PF03357;
PGOHUM00000249931	18	12246586	12247054	+	ENSP00000419425	0.99	0.724	8.0E-17	Processed	PF00160;
PGOHUM00000235003	18	12450446	12451005	+	ENSP00000410354	1.0	0.883	0.0	Processed	PF00505;
PGOHUM00000235004	18	12911216	12912263	+	ENSP00000325748	0.86	0.528	7.0E-17	Processed	PF00069;PF07714;
PGOHUM00000235005	18	12912868	12913905	+	ENSP00000293831	0.98	0.656	0.0	Processed	PF00270;PF00271;
PGOHUM00000235006	18	14053941	14054760	+	ENSP00000358019	0.72	0.716	0.0	Processed	PF08743;
PGOHUM00000235008	18	14179394	14226109	+	ENSP00000349891	1.0	0.88	0.0	Duplicated	PF00023;
PGOHUM00000235014	18	14252710	14254292	+	ENSP00000370817	0.89	0.445	8.0E-32	Processed	PF00018;PF00787;PF07653;
PGOHUM00000235022	18	14570867	14571739	+	ENSP00000317482	0.95	0.592	0.0	Processed	PF00001;
PGOHUM00000235023	18	14613136	14614180	+	ENSP00000304077	1.0	0.943	0.0	Processed	PF00001;
PGOHUM00000235024	18	14700020	14706400	+	ENSP00000389762	0.93	0.92	1.0E-25	Duplicated	PF02946;
PGOHUM00000235026	18	15254418	15270927	+	ENSP00000407262	1.0	0.6	3.0E-30	Duplicated	PF00096;PF01352;
PGOHUM00000235027	18	20166428	20167187	+	ENSP00000362744	1.0	0.726	0.0	Processed	PF00467;PF00900;PF01479;PF08071;
PGOHUM00000235033	18	24179370	24180303	+	ENSP00000377914	1.0	0.952	0.0	Processed	PF05093;
PGOHUM00000235034	18	26231695	26233174	+	ENSP00000348769	1.0	0.884	0.0	Processed	PF01485;
PGOHUM00000235036	18	29542141	29543581	+	ENSP00000270776	1.0	0.909	0.0	Processed	PF00393;PF03446;
PGOHUM00000235039	18	30359002	30359246	+	ENSP00000357555	1.0	0.631	2.0E-13	Processed	PF01667;
PGOHUM00000235041	18	33421723	33422579	+	ENSP00000277746	1.0	0.869	0.0	Processed	PF08961;
PGOHUM00000235043	18	35252658	35253136	+	ENSP00000354739	0.99	0.699	2.0E-17	Processed	PF00298;PF03946;
PGOHUM00000235049	18	43608197	43609798	+	ENSP00000225298	0.98	0.859	0.0	Processed	PF00400;
PGOHUM00000235050	18	44302938	44303218	+	ENSP00000337019	0.97	0.642	5.0E-19	Processed	PF01249;
PGOHUM00000235051	18	44663389	44663661	+	ENSP00000405965	0.96	0.824	8.0E-36	Processed	PF00240;
PGOHUM00000235052	18	45156483	45157216	+	ENSP00000312304	1.0	0.931	0.0	Processed	PF05724;
PGOHUM00000235055	18	47176720	47177532	+	ENSP00000338606	1.0	0.734	0.0	Processed	PF03167;
PGOHUM00000235059	18	47984257	47985162	+	ENSP00000339027	1.0	0.708	2.8026E-45	Processed	PF00428;PF00466;
PGOHUM00000235067	18	52411985	52412814	+	ENSP00000346067	0.99	0.717	0.0	Processed	PF00318;
PGOHUM00000235068	18	52621634	52621942	+	ENSP00000268607	0.81	0.66	7.0E-27	Processed	PF02991;
PGOHUM00000235071	18	55505708	55506187	+	ENSP00000260443	0.98	0.863	0.0	Processed	PF01246;
PGOHUM00000235072	18	56298490	56299003	+	ENSP00000346022	0.91	0.753	0.0	Processed	PF00347;
PGOHUM00000249935	18	57428790	57429134	+	ENSP00000348849	1.0	0.861	1.0E-33	Processed	PF01283;
PGOHUM00000235075	18	57491257	57492493	+	ENSP00000339027	1.0	0.82	0.0	Duplicated	PF00428;PF00466;
PGOHUM00000235076	18	57596462	57597562	+	ENSP00000389629	0.98	0.75	3.0E-27	Duplicated	PF00169;
PGOHUM00000235077	18	57636668	57638630	+	ENSP00000056233	0.94	0.936	0.0	Processed	PF00170;PF07716;
PGOHUM00000235078	18	57816808	57817594	+	ENSP00000346050	1.0	0.939	0.0	Processed	PF01015;
PGOHUM00000235079	18	57863787	57865406	+	ENSP00000265963	1.0	0.861	0.0	Processed	PF03909;PF08567;
PGOHUM00000235082	18	58330272	58331603	+	ENSP00000338615	1.0	0.834	0.0	Processed	PF00389;PF02826;
PGOHUM00000235085	18	60109242	60110359	+	ENSP00000349960	1.0	0.84	0.0	Processed	PF00022;
PGOHUM00000235086	18	61164222	61164630	+	ENSP00000348205	1.0	0.869	7.0E-40	Processed	PF00137;
PGOHUM00000235089	18	61739404	61739882	+	ENSP00000354739	0.96	0.677	2.0E-34	Processed	PF00298;PF03946;
PGOHUM00000235092	18	66123187	66124107	+	ENSP00000352584	0.99	0.634	2.0E-40	Processed	PF00248;
PGOHUM00000235094	18	66533754	66534262	+	ENSP00000356953	1.0	0.757	1.0E-28	Processed	PF01127;
PGOHUM00000249936	18	68097467	68098358	+	ENSP00000341885	1.0	0.859	0.0	Processed	PF00333;PF03719;
PGOHUM00000235097	18	68892933	68893954	+	ENSP00000288680	0.89	0.792	0.0	Processed	PF04258;
PGOHUM00000235100	18	70285502	70286455	+	ENSP00000333504	1.0	0.838	1.96182E-44	Processed	PF00076;
PGOHUM00000235102	18	74463314	74463749	+	ENSP00000362079	0.76	0.617	4.0E-19	Processed	PF00134;PF02984;
PGOHUM00000248283	13	19043359	19044162	-	ENSP00000407262	0.91	0.59	2.0E-29	Processed	PF00096;PF01352;
PGOHUM00000248288	13	19298554	19299779	-	ENSP00000280876	1.0	0.795	0.0	Processed	PF01501;
PGOHUM00000248291	13	19381416	19382995	-	ENSP00000370817	0.89	0.439	1.0E-32	Processed	PF00018;PF00787;PF07653;
PGOHUM00000248293	13	19409471	19446107	-	ENSP00000349891	0.8	0.88	0.0	Duplicated	PF00023;
PGOHUM00000248297	13	19466398	19469368	-	ENSP00000265909	1.0	0.862	0.0	Processed	PF00787;PF02194;PF08628;
PGOHUM00000248302	13	19622130	19630710	-	ENSP00000352185	0.26	0.83	1.0E-23	Duplicated	PF00628;PF02373;
PGOHUM00000248307	13	19878732	19879766	-	ENSP00000264995	1.0	0.914	0.0	Processed	PF00297;
PGOHUM00000248309	13	20032544	20032858	-	ENSP00000382267	1.0	0.8	7.00649E-45	Processed	PF00034;
PGOHUM00000248311	13	20134156	20135397	-	ENSP00000385971	1.0	0.905	0.0	Processed	PF00104;PF00105;
PGOHUM00000248313	13	20392322	20392751	-	ENSP00000355130	0.98	0.416	3.0E-13	Processed	PF00777;
PGOHUM00000248314	13	20644127	20646276	-	ENSP00000229214	0.99	0.78	4.0E-33	Duplicated	PF00013;
PGOHUM00000248315	13	20753123	20753598	-	ENSP00000395463	1.0	0.681	0.0	Processed	PF00160;
PGOHUM00000248316	13	21321246	21322196	-	ENSP00000396127	1.0	0.79	5.0E-37	Duplicated	PF00071;PF08477;
PGOHUM00000248317	13	21495840	21496684	-	ENSP00000348485	0.73	0.487	1.99993E-41	Processed	PF00076;
PGOHUM00000248318	13	21522327	21523738	-	ENSP00000393546	1.0	0.88	0.0	Duplicated	PF00076;
PGOHUM00000248320	13	21668457	21668853	-	ENSP00000230050	1.0	0.886	0.0	Processed	PF01248;
PGOHUM00000248323	13	22057973	22058313	-	ENSP00000289316	1.0	0.81	2.0E-22	Processed	PF00125;
PGOHUM00000248324	13	22673302	22673692	-	ENSP00000013034	0.81	0.569	9.0E-16	Processed	PF00334;
PGOHUM00000248325	13	23270165	23270713	-	ENSP00000273550	1.0	0.951	0.0	Processed	PF00210;
PGOHUM00000248327	13	23279378	23280344	-	ENSP00000322749	0.96	0.72	0.0	Duplicated	PF00270;
PGOHUM00000248329	13	23411162	23412381	-	ENSP00000363046	1.0	0.892	0.0	Processed	PF03770;
PGOHUM00000248331	13	24515420	24515881	-	ENSP00000254835	0.12	0.82	4.0E-26	Duplicated	PF00023;
PGOHUM00000248333	13	25278479	25278926	-	ENSP00000293842	0.99	0.612	1.0E-22	Processed	PF00467;
PGOHUM00000248337	13	25562713	25563063	-	ENSP00000378160	1.0	0.863	0.0	Processed	PF01199;
PGOHUM00000248340	13	26691685	26693102	-	ENSP00000271620	1.0	0.71	0.0	Duplicated	PF01368;PF02833;
PGOHUM00000248342	13	27591691	27592046	-	ENSP00000009589	1.0	0.79	9.00054E-42	Processed	PF00338;
PGOHUM00000248345	13	29296522	29297861	-	ENSP00000406757	1.0	0.96	0.0	Duplicated	PF00067;
PGOHUM00000248350	13	30440099	30440274	-	ENSP00000280354	0.71	0.78	2.0E-12	Processed	PF02953;
PGOHUM00000248351	13	31113731	31114724	-	ENSP00000199814	0.85	0.694	0.0	Processed	PF00076;PF00642;
PGOHUM00000248352	13	31115776	31117032	-	ENSP00000267812	1.0	0.553	1.0E-22	Processed	PF06991;
PGOHUM00000248358	13	34656914	34657447	-	ENSP00000390129	0.99	0.709	1.99965E-42	Processed	PF01459;
PGOHUM00000248361	13	37064191	37064578	-	ENSP00000330307	1.0	0.631	4.0E-18	Processed	PF00125;
PGOHUM00000248362	13	37316010	37316563	-	ENSP00000399284	0.99	0.615	2.0E-13	Processed	PF06137;
PGOHUM00000248364	13	37500578	37500968	-	ENSP00000294189	0.83	0.811	1.0E-15	Processed	PF01779;
PGOHUM00000248365	13	37512458	37513663	-	ENSP00000293831	0.99	0.868	0.0	Processed	PF00270;PF00271;
PGOHUM00000248368	13	38567184	38568857	-	ENSP00000340019	1.0	0.772	0.0	Processed	PF00118;
PGOHUM00000248369	13	39191559	39192134	-	ENSP00000349432	0.8	0.619	6.0E-38	Processed	PF00578;PF08534;
PGOHUM00000248372	13	39743769	39744087	-	ENSP00000254998	0.76	0.972	0.0	Processed	PF02136;
PGOHUM00000248376	13	41437742	41438039	-	ENSP00000307786	0.96	0.861	2.0E-36	Processed	PF00034;
PGOHUM00000248378	13	41566914	41567468	-	ENSP00000206262	0.85	0.875	4.0E-37	Processed	PF00615;
PGOHUM00000248379	13	41744839	41745284	-	ENSP00000272298	1.0	0.893	0.0	Processed	PF00036;
PGOHUM00000248380	13	41773944	41774812	-	ENSP00000408880	0.96	0.619	0.0	Processed	PF05712;
PGOHUM00000248381	13	41861880	41862456	-	ENSP00000249071	1.0	0.731	0.0	Processed	PF00071;PF08477;
PGOHUM00000248383	13	42005409	42006367	-	ENSP00000387523	0.93	0.766	0.0	Processed	PF00001;
PGOHUM00000249943	13	42013970	42014971	-	ENSP00000387523	0.98	0.696	0.0	Processed	PF00001;
PGOHUM00000248385	13	42643071	42645229	-	ENSP00000261845	1.0	0.913	0.0	Processed	PF00069;
PGOHUM00000248387	13	42943398	42943793	-	ENSP00000362817	0.99	0.826	0.0	Processed	PF00061;
PGOHUM00000248390	13	46127027	46127271	-	ENSP00000216463	0.99	0.67	9.0E-21	Processed	PF02953;
PGOHUM00000248391	13	46261684	46262607	-	ENSP00000285930	1.0	0.785	0.0	Processed	PF00248;
PGOHUM00000248393	13	48340781	48341231	-	ENSP00000346015	0.99	0.755	1.0E-27	Processed	PF00256;
PGOHUM00000248397	13	49784557	49786420	-	ENSP00000337196	0.99	0.83	0.0	Duplicated	PF03171;
PGOHUM00000248399	13	50935549	50935899	-	ENSP00000378160	1.0	0.829	0.0	Processed	PF01199;
PGOHUM00000248400	13	51735830	51736475	-	ENSP00000359345	0.72	0.796	0.0	Processed	PF00861;
PGOHUM00000248401	13	52070162	52070387	-	ENSP00000272348	0.99	0.72	4.0E-18	Processed	PF01423;
PGOHUM00000248409	13	56573337	56574559	-	ENSP00000346339	1.0	0.752	0.0	Processed	PF00105;
PGOHUM00000248411	13	57965305	57965652	-	ENSP00000264258	0.99	0.613	2.0E-11	Processed	PF01198;
PGOHUM00000248412	13	59325183	59326346	-	ENSP00000369127	0.98	0.722	0.0	Processed	PF00226;PF00684;PF01556;
PGOHUM00000248413	13	59645605	59645937	-	ENSP00000293860	0.98	0.622	3.0E-17	Processed	PF01096;PF02150;
PGOHUM00000248414	13	61211023	61212231	-	ENSP00000293831	1.0	0.845	0.0	Processed	PF00270;PF00271;
PGOHUM00000248417	13	64385145	64385740	-	ENSP00000328178	0.98	0.845	0.0	Processed	PF04979;
PGOHUM00000248419	13	65532169	65533527	-	ENSP00000334206	1.0	0.88	0.0	Duplicated	PF01650;
PGOHUM00000248420	13	65883986	65885086	-	ENSP00000276449	1.0	0.88	9.94922E-44	Duplicated	PF01852;
PGOHUM00000249946	13	67840967	67841836	-	ENSP00000346067	1.0	0.892	0.0	Processed	PF00318;
PGOHUM00000248424	13	68406011	68406878	-	ENSP00000296930	1.0	0.844	0.0	Processed	PF03066;
PGOHUM00000248425	13	68863841	68865162	-	ENSP00000237853	0.7	0.578	3.0E-29	Processed	PF07303;
PGOHUM00000248426	13	68875629	68877434	-	ENSP00000393546	1.0	0.69	3.0E-19	Duplicated	PF00076;
PGOHUM00000248427	13	68905470	68905745	-	ENSP00000274242	0.99	0.505	2.0E-12	Processed	PF01907;
PGOHUM00000248430	13	69982346	69982853	-	ENSP00000258962	0.71	0.636	8.0E-11	Processed	PF00076;
PGOHUM00000248431	13	70468208	70469495	-	ENSP00000261303	1.0	0.723	0.0	Processed	PF00004;
PGOHUM00000248432	13	70486996	70487516	-	ENSP00000245552	0.95	0.448	4.0E-16	Processed	PF06941;
PGOHUM00000249948	13	72487874	72488314	-	ENSP00000363165	0.88	0.675	5.0E-29	Processed	PF03501;
PGOHUM00000248438	13	74951730	74952088	-	ENSP00000346027	0.75	0.692	9.0E-36	Processed	PF01157;
PGOHUM00000248446	13	81193488	81194202	-	ENSP00000383298	0.88	0.617	1.0E-28	Processed	PF00076;
PGOHUM00000248453	13	88417862	88418451	-	ENSP00000300291	0.93	0.411	6.0E-12	Processed	PF00293;
PGOHUM00000248454	13	88542430	88548171	-	ENSP00000362748	1.0	0.66	0.0	Duplicated	PF02008;
PGOHUM00000248455	13	88888853	88889224	-	ENSP00000294189	0.79	0.603	4.0E-23	Processed	PF01779;
PGOHUM00000248457	13	89901074	89902464	-	ENSP00000343765	0.98	0.536	2.0E-28	Processed	PF00097;PF00622;PF00643;
PGOHUM00000248458	13	90013412	90015535	-	ENSP00000310301	0.93	0.849	0.0	Processed	PF00096;
PGOHUM00000248460	13	90485567	90486301	-	ENSP00000346063	1.0	0.833	0.0	Processed	PF00327;
PGOHUM00000248461	13	91924338	91924831	-	ENSP00000419425	1.0	0.842	0.0	Processed	PF00160;
PGOHUM00000248463	13	94047229	94048086	-	ENSP00000333504	0.93	0.678	0.0	Processed	PF00076;
PGOHUM00000248464	13	95409704	95411523	-	ENSP00000378180	1.0	0.797	0.0	Processed	PF00439;
PGOHUM00000248465	13	95412822	95413267	-	ENSP00000346027	0.96	0.727	5.00264E-43	Processed	PF01157;
PGOHUM00000248466	13	96346236	96346749	-	ENSP00000354665	1.0	0.609	7.0E-25	Processed	PF00499;
PGOHUM00000248470	13	97599972	97601181	-	ENSP00000228245	0.81	0.65	3.0E-26	Duplicated	PF01167;
PGOHUM00000248474	13	99281944	99282213	-	ENSP00000307786	0.87	0.681	3.0E-29	Processed	PF00034;
PGOHUM00000248476	13	99601976	99602701	-	ENSP00000346063	1.0	0.841	7.0E-37	Processed	PF00327;
PGOHUM00000248478	13	99867629	99868012	-	ENSP00000296417	1.0	0.907	4.0E-37	Processed	PF00125;
PGOHUM00000248479	13	100060180	100061222	-	ENSP00000365596	0.79	0.44	5.0E-34	Duplicated	PF00001;
PGOHUM00000248480	13	100622379	100623929	-	ENSP00000267294	0.78	1.0	0.0	Processed	PF00096;
PGOHUM00000248481	13	100680030	100680428	-	ENSP00000330737	0.94	0.628	3.0E-20	Processed	PF05071;
PGOHUM00000248482	13	100715440	100715857	-	ENSP00000394242	0.86	0.736	0.0	Processed	PF00310;
PGOHUM00000248483	13	100802738	100803349	-	ENSP00000309334	1.0	0.897	0.0	Processed	PF00827;
PGOHUM00000248486	13	101276012	101276318	-	ENSP00000258424	0.79	0.68	2.0E-13	Processed	PF01215;
