#Biotype
#   PSSD  - processed pseudogene
#   DUP    - duplicated pseudogene
#   FRAG  - ambiguous pseudogene
#
#Activity features
#    Tnx - transcription
#    Pol2 - polymerase 2 binding sites
#    AC - active chromatin
#    TF - transcription factor binding sites
#
#Activity test result:
#    0 - no activity feature
#    1 - the activity feature is present
#
#
#Pseudogene_id		Biotype	Parent_gene		Parent_transcript	Activity_features
ENST00000475156.1	PSSD	ENSG00000197728.4	ENST00000356464.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000531724.1	PSSD	ENSG00000160633.5	ENST00000433404.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457882.1	PSSD	ENSG00000114391.8	ENST00000469605.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000427963.1	DUP	ENSG00000046651.9	ENST00000380567.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000534005.1	DUP	ENSG00000174942.1	ENST00000312253.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000465163.1	PSSD	ENSG00000198755.6	ENST00000322203.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414578.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000471495.1	PSSD	ENSG00000172115.4	ENST00000305786.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000422168.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000411661.1	PSSD	ENSG00000171617.8	ENST00000302351.4	Tnx_0:Pol2_0:AC_0:TF_1
ENST00000417216.2	PSSD	ENSG00000153250.13	ENST00000348849.3	Tnx_1:Pol2_0:AC_0:TF_1
ENST00000504828.1	DUP	ENSG00000182156.4	ENST00000328313.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000458060.1	DUP	.	.	Tnx_1:Pol2_1:AC_1:TF_0
ENST00000529152.1	PSSD	ENSG00000166211.5	ENST00000299272.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000459650.1	PSSD	ENSG00000115758.7	ENST00000234111.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000414224.1	PSSD	ENSG00000228716.2	ENST00000439211.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000530771.1	PSSD	ENSG00000134574.7	ENST00000256996.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000487566.1	PSSD	ENSG00000109475.12	ENST00000394665.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000514850.1	PSSD	ENSG00000171757.10	ENST00000522526.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000435693.1	PSSD	ENSG00000164733.13	ENST00000434271.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000458710.1	PSSD	ENSG00000214042.1	ENST00000239347.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000415468.1	PSSD	ENSG00000188612.6	ENST00000420826.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412317.1	PSSD	ENSG00000135617.3	ENST00000258083.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000416640.1	PSSD	ENSG00000196422.5	ENST00000356818.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000497678.1	PSSD	ENSG00000123739.5	ENST00000243501.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000407841.1	PSSD	ENSG00000177565.10	ENST00000430069.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000403509.1	pseudogene	ENSG00000147403.12	ENST00000436473.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000465212.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000420608.1	PSSD	ENSG00000197958.8	ENST00000361436.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000503377.1	PSSD	ENSG00000112339.10	ENST00000367837.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441025.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000433227.1	PSSD	ENSG00000132603.7	ENST00000254940.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000427761.1	PSSD	ENSG00000181163.9	ENST00000296930.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000392354.2	PSSD	ENSG00000135940.2	ENST00000258424.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423806.2	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000489235.2	PSSD	ENSG00000075142.9	ENST00000265729.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412243.2	PSSD	ENSG00000119335.11	ENST00000372692.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000454320.1	DUP	ENSG00000137259.2	ENST00000259791.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000458402.1	PSSD	ENSG00000129824.9	ENST00000250784.7	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000358455.4	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000503681.1	PSSD	ENSG00000048140.13	ENST00000507471.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000512440.1	PSSD	ENSG00000155984.8	ENST00000502858.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438308.1	PSSD	ENSG00000063046.11	ENST00000262056.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000419730.1	PSSD	ENSG00000174444.7	ENST00000307961.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000472160.1	PSSD	ENSG00000109475.12	ENST00000394665.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423046.1	PSSD	ENSG00000204807.1	ENST00000377529.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000431186.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404229.1	PSSD	ENSG00000173915.8	ENST00000309579.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000439258.2	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000431286.1	PSSD	ENSG00000160131.9	ENST00000370361.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000454256.1	PSSD	ENSG00000134453.9	ENST00000446108.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000420373.1	DUP	ENSG00000136206.3	ENST00000258704.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000526931.1	PSSD	ENSG00000077809.7	ENST00000324896.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000413296.1	PSSD	ENSG00000108468.9	ENST00000393408.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000436802.1	PSSD	ENSG00000159199.7	ENST00000393366.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000314232.7	PSSD	ENSG00000204366.3	ENST00000375527.2	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000523109.1	IG_V_pseudogene	ENSG00000244437.1	ENST00000390252.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000532151.1	PSSD	ENSG00000143878.8	ENST00000272233.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000444641.1	PSSD	ENSG00000174010.9	ENST00000328046.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438957.1	PSSD	ENSG00000163807.4	ENST00000296121.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517907.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000489759.1	PSSD	ENSG00000005302.12	ENST00000361672.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423231.1	PSSD	ENSG00000122026.6	ENST00000311549.6	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000446052.1	unitary_pseudogene	ENSG00000178201.3	ENST00000321039.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000415066.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_1
ENST00000534066.1	PSSD	ENSG00000164919.4	ENST00000523016.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000452266.1	PSSD	ENSG00000065154.7	ENST00000368845.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000533722.1	PSSD	ENSG00000237521.1	ENST00000456448.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000417001.1	DUP	ENSG00000197927.7	ENST00000355171.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000505836.1	PSSD	ENSG00000076248.4	ENST00000542183.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000527291.1	PSSD	ENSG00000135940.2	ENST00000258424.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000420122.1	PSSD	ENSG00000008988.5	ENST00000524349.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000511911.1	DUP	ENSG00000171234.9	ENST00000502942.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000476880.1	PSSD	ENSG00000231500.2	ENST00000439602.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000404088.1	deleted	.	.	Tnx_0:Pol2_1:AC_0:TF_1
ENST00000526498.1	DUP	ENSG00000221840.2	ENST00000319760.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442562.1	PSSD	ENSG00000233927.2	ENST00000449223.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000440529.1	PSSD	ENSG00000136933.12	ENST00000259460.8	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000444087.1	PSSD	ENSG00000204807.1	ENST00000377529.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000508429.1	DUP	ENSG00000185973.6	ENST00000334398.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000425480.1	PSSD	ENSG00000089009.8	ENST00000424576.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000423237.1	PSSD	ENSG00000198830.6	ENST00000361427.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000522107.1	IG_V_pseudogene	ENSG00000211938.2	ENST00000390598.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000420479.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000530484.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000445859.1	PSSD	ENSG00000241343.2	ENST00000427805.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000475327.1	PSSD	ENSG00000115484.10	ENST00000394440.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000393279.2	DUP	.	.	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000430691.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000416139.1	PSSD	ENSG00000198242.7	ENST00000422514.2	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000510507.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000480487.1	PSSD	ENSG00000105372.1	ENST00000221975.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000421872.1	PSSD	ENSG00000064666.6	ENST00000263097.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000444762.1	PSSD	ENSG00000132475.3	ENST00000254810.3	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000531736.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000521237.1	PSSD	ENSG00000161970.7	ENST00000293842.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000451327.1	PSSD	ENSG00000171865.5	ENST00000315212.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441944.1	PSSD	ENSG00000196262.8	ENST00000468812.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000492126.1	PSSD	ENSG00000179051.9	ENST00000375436.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000456889.1	DUP	ENSG00000102743.8	ENST00000338625.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438468.1	PSSD	ENSG00000241343.2	ENST00000427805.2	Tnx_0:Pol2_1:AC_1:TF_0
ENST00000414704.1	PSSD	ENSG00000171863.8	ENST00000304921.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000426582.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000521893.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000434010.1	PSSD	ENSG00000140988.8	ENST00000343262.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000528255.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000506193.1	PSSD	ENSG00000184779.7	ENST00000330339.7	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000490750.1	PSSD	ENSG00000089157.10	ENST00000228306.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000416185.1	PSSD	ENSG00000186468.8	ENST00000296674.8	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000513916.1	PSSD	ENSG00000063177.6	ENST00000450952.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424239.1	DUP	ENSG00000214946.7	ENST00000437605.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000407594.2	PSSD	ENSG00000188976.6	ENST00000327044.6	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000478559.1	PSSD	ENSG00000117155.10	ENST00000342203.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000450596.1	DUP	ENSG00000205495.1	ENST00000380370.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000425977.1	DUP	ENSG00000174957.1	ENST00000312298.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000437571.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000225587.1	DUP	ENSG00000236220.1	ENST00000417757.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000407697.1	PSSD	ENSG00000169021.3	ENST00000304863.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000340589.3	PSSD	ENSG00000138293.14	ENST00000438493.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000403590.1	PSSD	.	.	Tnx_1:Pol2_0:AC_1:TF_1
ENST00000443005.1	PSSD	ENSG00000187735.8	ENST00000521604.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000489727.2	PSSD	ENSG00000130255.6	ENST00000394580.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457576.1	PSSD	ENSG00000143947.8	ENST00000272317.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000453713.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_1
ENST00000395058.3	PSSD	ENSG00000106665.10	ENST00000539676.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000448158.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000430386.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000274516.5	PSSD	ENSG00000237190.3	ENST00000458198.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000512224.2	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000441518.1	DUP	ENSG00000176979.8	ENST00000512596.1	Tnx_1:Pol2_0:AC_1:TF_1
ENST00000449447.1	PSSD	ENSG00000101773.11	ENST00000327155.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000454674.1	PSSD	ENSG00000148719.9	ENST00000338820.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000445874.1	PSSD	ENSG00000143742.8	ENST00000304786.7	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000519417.1	PSSD	ENSG00000164649.15	ENST00000406877.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000475555.1	PSSD	ENSG00000140988.8	ENST00000343262.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457969.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000399253.3	PSSD	ENSG00000130255.6	ENST00000394580.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000514574.1	PSSD	ENSG00000171051.3	ENST00000304748.3	Tnx_0:Pol2_1:AC_1:TF_1
ENST00000435954.2	PSSD	ENSG00000074201.3	ENST00000525428.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000452411.1	PSSD	ENSG00000153201.10	ENST00000283195.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000451357.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000458172.1	PSSD	ENSG00000172115.4	ENST00000305786.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000442280.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000524156.1	PSSD	ENSG00000198301.7	ENST00000356260.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000449659.1	DUP	ENSG00000172967.7	ENST00000331428.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000506906.1	PSSD	ENSG00000167970.6	ENST00000454671.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000446623.1	PSSD	ENSG00000205581.6	ENST00000380749.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000451057.1	PSSD	ENSG00000215114.3	ENST00000399598.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000432657.1	PSSD	ENSG00000111640.8	ENST00000396858.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000476363.1	PSSD	ENSG00000115268.3	ENST00000233609.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000529722.1	PSSD	ENSG00000174942.1	ENST00000312253.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000506185.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000427378.1	PSSD	ENSG00000013561.13	ENST00000394520.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000457867.1	PSSD	ENSG00000109475.12	ENST00000394668.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000545761.1	PSSD	ENSG00000125971.12	ENST00000357156.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000440201.1	PSSD	ENSG00000171109.13	ENST00000471841.1	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000438285.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000412020.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000495104.1	PSSD	ENSG00000161970.7	ENST00000293842.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000453277.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000545710.1	PSSD	ENSG00000137040.8	ENST00000259569.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000428055.1	DUP	ENSG00000211950.2	ENST00000390610.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000524362.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000451261.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000523141.1	PSSD	ENSG00000102931.2	ENST00000219204.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000495592.1	PSSD	ENSG00000174748.11	ENST00000307839.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000521969.1	IG_V_pseudogene	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000457376.1	PSSD	ENSG00000135002.5	ENST00000376736.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000427194.1	PSSD	ENSG00000168282.3	ENST00000305386.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000471148.1	PSSD	ENSG00000071082.5	ENST00000264258.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000435210.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000504574.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000484852.1	PSSD	ENSG00000135486.10	ENST00000340913.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000435924.1	PSSD	ENSG00000105640.6	ENST00000420197.2	Tnx_1:Pol2_0:AC_1:TF_1
ENST00000429974.1	PSSD	ENSG00000113194.7	ENST00000261942.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000517330.1	PSSD	ENSG00000096384.13	ENST00000371562.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000438005.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000441404.1	unitary_pseudogene	ENSG00000168131.2	ENST00000303324.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000416186.1	PSSD	ENSG00000134419.9	ENST00000322989.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000398171.2	PSSD	ENSG00000007168.5	ENST00000397195.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424144.1	DUP	ENSG00000174156.7	ENST00000211122.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000448783.1	PSSD	ENSG00000139988.4	ENST00000267502.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000513070.2	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000416158.1	PSSD	ENSG00000181885.11	ENST00000397317.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000434246.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000504006.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
