#Pseudogene_id	Biotype	Parent_gene	Parent_transcript	Activity_features	PseudoPipeID	EnsemblID	Gene stable ID	Gene stable ID version	Transcript stable ID version	Pfam ID	Protein stable ID	Protein stable ID version
ENST00000444241.1	PSSD	ENSG00000119689.9	ENST00000334220	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000295721	ENST00000444241	ENSG00000119689	ENSG00000119689.15	ENST00000334220.9	PF00364	ENSP00000335304	ENSP00000335304.4
ENST00000537570.1	PSSD	ENSG00000137876.4	ENST00000260443	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000137876	ENSG00000137876.10	ENST00000260443.9	PF01246	ENSP00000260443	ENSP00000260443.4
ENST00000426721.1	PSSD	ENSG00000107829.8	ENST00000331272	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000107829	ENSG00000107829.15	ENST00000331272.9	PF00400	ENSP00000359149	ENSP00000359149.3
ENST00000426721.1	PSSD	ENSG00000107829.8	ENST00000331272	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000107829	ENSG00000107829.15	ENST00000331272.9	PF12937	ENSP00000359149	ENSP00000359149.3
ENST00000476365.1	PSSD	ENSG00000178021.9	ENST00000317802	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000178021	ENSG00000178021.11	ENST00000317802.9	PF00956	ENSP00000417919	ENSP00000417919.2
ENST00000544420.1	PSSD	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000448467.1	PSSD	ENSG00000198053.7	ENST00000358771	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297737	ENST00000448467	ENSG00000198053	ENSG00000198053.11	ENST00000358771.4	PF07686	ENSP00000351621	ENSP00000351621.4
ENST00000448467.1	PSSD	ENSG00000198053.7	ENST00000358771	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297737	ENST00000448467	ENSG00000198053	ENSG00000198053.11	ENST00000358771.4	PF07654	ENSP00000351621	ENSP00000351621.4
ENST00000401676.1	deleted	ENSG00000109971.8	ENST00000528292	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000109971	ENSG00000109971.14	ENST00000528292.5	PF00012	ENSP00000432884	ENSP00000432884.1
ENST00000414613.1	PSSD	ENSG00000147140.10	ENST00000418921	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297876	ENST00000414613	ENSG00000147140	ENSG00000147140.16	ENST00000418921.1	PF08075	ENSP00000409773	ENSP00000409773.1
ENST00000414613.1	PSSD	ENSG00000147140.10	ENST00000418921	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297876	ENST00000414613	ENSG00000147140	ENSG00000147140.16	ENST00000418921.1	PF00076	ENSP00000409773	ENSP00000409773.1
ENST00000419363.1	PSSD	ENSG00000140718.12	ENST00000471389	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000308148	ENST00000419363	ENSG00000140718	ENSG00000140718.21	ENST00000471389.6	PF12934	ENSP00000418823	ENSP00000418823.1
ENST00000419363.1	PSSD	ENSG00000140718.12	ENST00000471389	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000308148	ENST00000419363	ENSG00000140718	ENSG00000140718.21	ENST00000471389.6	PF12933	ENSP00000418823	ENSP00000418823.1
ENST00000429734.1	PSSD	ENSG00000181163.9	ENST00000393820	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000181163	ENSG00000181163.13	ENST00000393820.2	PF03066	ENSP00000377408	ENSP00000377408.2
ENST00000460134.1	PSSD	ENSG00000053371.7	ENST00000235835	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000053371	ENSG00000053371.12	ENST00000235835.7	PF00248	ENSP00000235835	ENSP00000235835.3
ENST00000433562.1	PSSD	ENSG00000169139.6	ENST00000520809	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000295543	ENST00000433562	ENSG00000169139	ENSG00000169139.12	ENST00000520809.1	PF00179	ENSP00000429419	ENSP00000429419.1
ENST00000493111.2	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000434500.1	DUP	ENSG00000146731.5	ENST00000275603	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000146731	ENSG00000146731.11	ENST00000275603.9	PF00118	ENSP00000275603	ENSP00000275603.4
ENST00000541103.1	DUP	ENSG00000121903.8	ENST00000361328	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000121903	ENSG00000121903.14	ENST00000361328.7	PF02023	ENSP00000355053	ENSP00000355053.3
ENST00000541103.1	DUP	ENSG00000121903.8	ENST00000361328	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000121903	ENSG00000121903.14	ENST00000361328.7	PF13837	ENSP00000355053	ENSP00000355053.3
ENST00000541103.1	DUP	ENSG00000121903.8	ENST00000361328	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000121903	ENSG00000121903.14	ENST00000361328.7	PF00096	ENSP00000355053	ENSP00000355053.3
ENST00000437933.1	PSSD	ENSG00000167996.10	ENST00000273550	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296284	ENST00000437933	ENSG00000167996	ENSG00000167996.16	ENST00000273550.12	PF00210	ENSP00000273550	ENSP00000273550.7
ENST00000508690.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000443590.1	PSSD	ENSG00000156508.12	ENST00000316292	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298054	ENST00000443590	ENSG00000156508	ENSG00000156508.18	ENST00000316292.13	PF03143	ENSP00000339063	ENSP00000339063.7
ENST00000443590.1	PSSD	ENSG00000156508.12	ENST00000316292	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298054	ENST00000443590	ENSG00000156508	ENSG00000156508.18	ENST00000316292.13	PF03144	ENSP00000339063	ENSP00000339063.7
ENST00000443590.1	PSSD	ENSG00000156508.12	ENST00000316292	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298054	ENST00000443590	ENSG00000156508	ENSG00000156508.18	ENST00000316292.13	PF00009	ENSP00000339063	ENSP00000339063.7
ENST00000494367.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000301736	ENST00000494367	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000510438.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000301311	ENST00000510438	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000503903.1	DUP	ENSG00000099977.9	ENST00000404092	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000285762	ENSG00000285762.1	ENST00000404092.5	PF01187	ENSP00000385714	ENSP00000385714.1
ENST00000421336.1	PSSD	ENSG00000122566.15	ENST00000409814	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000302016	ENST00000421336	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000524809.1	PSSD	ENSG00000213585.5	ENST00000265333	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290387	ENST00000524809	ENSG00000213585	ENSG00000213585.11	ENST00000265333.8	PF01459	ENSP00000265333	ENSP00000265333.3
ENST00000427240.1	DUP	ENSG00000084072.12	ENST00000372830	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000084072	ENSG00000084072.17	ENST00000372830.5	PF00160	ENSP00000361918	ENSP00000361918.1
ENST00000427240.1	DUP	ENSG00000084072.12	ENST00000372830	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000084072	ENSG00000084072.17	ENST00000372830.5	PF00076	ENSP00000361918	ENSP00000361918.1
ENST00000373592.2	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298352	ENST00000373592	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF01431	ENSP00000302051	ENSP00000302051.1
ENST00000373592.2	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298352	ENST00000373592	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF05649	ENSP00000302051	ENSP00000302051.1
ENST00000508865.1	PSSD	ENSG00000145425.5	ENST00000507327	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000299734	ENST00000508865	ENSG00000145425	ENSG00000145425.10	ENST00000507327.5	PF01015	ENSP00000424547	ENSP00000424547.1
ENST00000413611.1	PSSD	ENSG00000156261.7	ENST00000389159	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000442758.1	PSSD	ENSG00000197728.4	ENST00000356464	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000197728	ENSG00000197728.11	ENST00000356464.10	PF01283	ENSP00000348849	ENSP00000348849.5
ENST00000441817.2	DUP	ENSG00000109762.10	ENST00000504273	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000311292	ENST00000441817	ENSG00000109762	ENSG00000109762.16	ENST00000504273.5	PF00615	ENSP00000426255	ENSP00000426255.1
ENST00000441817.2	DUP	ENSG00000109762.10	ENST00000504273	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000311292	ENST00000441817	ENSG00000109762	ENSG00000109762.16	ENST00000504273.5	PF00787	ENSP00000426255	ENSP00000426255.1
ENST00000441817.2	DUP	ENSG00000109762.10	ENST00000504273	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000311292	ENST00000441817	ENSG00000109762	ENSG00000109762.16	ENST00000504273.5	PF08628	ENSP00000426255	ENSP00000426255.1
ENST00000441817.2	DUP	ENSG00000109762.10	ENST00000504273	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000311292	ENST00000441817	ENSG00000109762	ENSG00000109762.16	ENST00000504273.5	PF02194	ENSP00000426255	ENSP00000426255.1
ENST00000412397.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000450606.1	PSSD	ENSG00000130255.6	ENST00000394580	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000295700	ENST00000450606	ENSG00000130255	ENSG00000130255.13	ENST00000394580.2	PF01158	ENSP00000378081	ENSP00000378081.2
ENST00000451515.1	PSSD	ENSG00000112306.7	ENST00000230050	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000112306	ENSG00000112306.8	ENST00000230050.4	PF01248	ENSP00000230050	ENSP00000230050.3
ENST00000466859.2	PSSD	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000439199.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000302552	ENST00000439199	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF00333	ENSP00000341885	ENSP00000341885.4
ENST00000439199.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000302552	ENST00000439199	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF03719	ENSP00000341885	ENSP00000341885.4
ENST00000531139.1	PSSD	ENSG00000161547.8	ENST00000358156	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000161547	ENSG00000161547.17	ENST00000358156.6	PF00076	ENSP00000350877	ENSP00000350877.6
ENST00000420457.1	PSSD	ENSG00000067177.10	ENST00000373545	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000295743	ENST00000420457	ENSG00000067177	ENSG00000067177.15	ENST00000373545.7	PF00723	ENSP00000362646	ENSP00000362646.3
ENST00000432760.1	PSSD	ENSG00000086065.8	ENST00000223500	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000086065	ENSG00000086065.14	ENST00000223500.9	PF03357	ENSP00000223500	ENSP00000223500.7
ENST00000377662.2	PSSD	ENSG00000112763.10	ENST00000312541	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000112763	ENSG00000112763.17	ENST00000312541.10	PF13765	ENSP00000312158	ENSP00000312158.5
